Performance Statistics   2021-12-24 10:01:00 - 2021-12-24 10:02:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
LoadClass                                                0,2           0           2         0,5          18
Messages.searchClasspath                                 0,2           0          19         1,3         569
Messages.searchFiles                                     0,0           0          20         0,8         569
Metadata.replaceExtendedMetaClasses                      3,3           3           4         0,5           3
Scheduling.processTasks                                124,5          32         604       124,2          23
ViewRepository.init.ExtViewRepositoryImpl              106,0         106         106         0,0           1
ViewRepository.replaceOverridden                         0,1           0           1         0,3          21
WebJARs                                                162,0         162         162         0,0           1

Performance Statistics   2021-12-24 10:02:00 - 2021-12-24 10:03:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
LoadClass                                               99,0          99          99         0,0           1
Messages.searchClasspath                                 3,6           0        3131        92,1        1191
Messages.searchFiles                                     0,0           0           0         0,0        1191
Messages.searchRemotely                                 54,7           0        3134       382,6          67
Metadata.replaceExtendedMetaClasses                      2,0           2           2         0,0           1
Scheduling.processTasks                                169,4          35         702       133,6          60

